postIdFinal,reason
38808089,tokens
19705453,length
19348007,length
26740478,tokens+length
3782593,tokens+length
31877177,length
15024555,length
23286708,length
18425829,tokens+length
9526597,length
11574678,length
49795258,length
22993421,length
49629808,length
43055616,length
56816679,length
37830624,length
49688108,tokens+length
26567112,length
63328580,length
2851308,length
65064200,tokens+length
11004089,length
40386263,length
30605771,length
61965918,tokens+length
4895255,length
44991244,length
44776805,length
18231482,length
59263240,tokens+length
3720900,length
40519081,length
54148783,tokens+length
8437429,tokens+length
56282084,length
18560872,length
37879673,tokens
55718832,tokens
22602031,length
46840392,tokens+length
53848610,tokens
51774058,length
13122067,length
13422975,length
9081000,length
14421432,length
49216271,length
6147905,length
20406579,length
43556752,tokens+length
21570360,length
3019976,tokens+length
57881337,length
27414422,length
54310878,length
50245363,length
38320757,length
42598937,length
44390669,length
44972185,tokens+length
18701990,tokens+length
27103867,tokens+length
40769131,length
8810484,length
47435039,tokens
18689639,tokens+length
62240966,length
49418942,length
47036388,length
13667082,length
31458499,length
26890675,length
40305487,length
31595286,length
30737445,length
8204705,length
58155444,tokens+length
60018979,length
15657458,length
9796000,length
18893931,length
50475984,length
44142271,length
51262326,length
31004756,length
34673243,length
46575493,length
46575493,tokens+length
54582163,length
47499243,tokens
23922064,length
51073764,length
26674948,length
43564813,length
28216483,length
28216483,length
21461102,tokens
21454552,length
38008176,length
21462683,tokens
38885208,length
48864587,length
49572992,length
49572992,length
23778727,length
22955678,length
21375590,length
62959112,length
35760822,length
28359238,length
15358019,tokens+length
45341581,tokens
10196754,tokens+length
30209760,length
36791066,length
16621717,length
54529181,length
7944151,length
23652911,length
2011108,length
48782487,length
31559999,length
64114540,length
41171071,length
44271600,length
30210227,length
21372646,tokens
2952432,tokens+length
46284100,tokens+length
25379577,length
60975419,tokens
48067367,length
54740394,length
30331249,length
16577829,length
16577829,length
34422826,length
8990608,length
38803572,tokens+length
36163727,length
39391086,tokens+length
10830826,length
46987584,tokens
37965974,length
53556845,tokens+length
31919719,length
37767327,tokens+length
43332464,tokens+length
25396967,length
27860318,length
46900168,length
11926172,tokens+length
49199705,tokens
18833188,length
21080331,length
41713070,length
31970847,length
24062334,length
51528797,length
61531929,length
51685550,length
63014304,tokens+length
26730677,length
7037124,tokens+length
32153503,tokens
12874265,length
42904887,tokens+length
28840447,length
38721979,length
45016027,tokens
38847744,length
38847744,length
42859054,length
25184479,length
26217676,length
16307064,length
17373890,length
38589892,tokens+length
38589892,tokens+length
5218857,length
43361492,length
41952468,tokens
39123036,length
44525259,length
29596284,length
61561667,length
51975291,length
24327840,tokens+length
46243303,length
49985664,length
28629851,length
50278587,length
22779046,length
62593353,length
64011474,length
45177462,length
23828003,length
5761432,length
43861486,length
32961291,length
5322578,length
61342496,tokens
62064964,tokens+length
14242722,length
38568528,length
9142697,length
54276412,length
5215978,length
12032173,length
49642243,length
8471406,tokens+length
45405745,length
42771166,length
24457811,length
35393492,tokens+length
7238701,length
38167191,tokens+length
4487210,length
19334529,length
30096566,length
1617162,tokens+length
24581003,length
34423112,tokens
32156769,length
16742031,tokens+length
40752796,length
40752796,tokens
56972744,length
56766325,length
29136916,tokens+length
43036363,length
33982534,length
54150709,length
47683508,length
47683508,length
56512274,tokens+length
55632292,tokens
61259678,tokens
25361132,length
34134804,length
13931901,tokens+length
37427370,length
21772572,length
47422193,tokens+length
21027006,tokens
39376509,tokens+length
54835002,length
11096329,length
28840490,length
10902959,length
35533657,length
57428436,tokens+length
15434657,tokens+length
15434657,length
50806774,tokens
23552350,length
31724719,tokens+length
31724719,length
17036738,length
23038339,length
37762834,tokens
22987856,length
34851946,length
13761065,length
11421266,tokens+length
34689829,length
14018381,tokens
60806247,length
12529837,length
22112391,length
10688623,length
13864851,tokens+length
1545463,length
928591,length
43454690,tokens+length
25390828,length
38222497,tokens+length
30038452,tokens
36295070,length
27154475,tokens
20693505,tokens
52928113,length
35553672,length
32664040,tokens+length
33288456,length
23335405,length
27871143,length
30977474,length
39759990,length
60080839,length
49619091,length
23643981,length
64618200,length
7947107,length
55979904,length
46104457,tokens+length
31226272,tokens+length
48768543,tokens+length
62115809,length
63344211,tokens+length
13998074,length
60849274,length
60849274,tokens
48682699,length
27123110,length
30672863,length
63007888,tokens
45266831,tokens+length
38787373,length
63814375,tokens+length
60530210,tokens+length
29541234,length
50256477,length
28325714,length
39843637,tokens
38713045,length
32316865,length
32316865,length
4465977,length
48420617,tokens+length
44038275,length
18463265,tokens
40182184,length
32599817,length
60102176,tokens
32610937,length
33365603,tokens+length
58357677,length
53422860,length
27781403,length
15574999,length
35252746,tokens
15357846,length
62569656,length
33083719,length
51745770,tokens+length
28750487,length
50247621,length
6384421,length
38854074,tokens+length
17498544,length
9619838,length
45055176,tokens+length
49330077,length
45236893,length
27773723,length
61382015,tokens+length
15820583,tokens
8071415,tokens+length
37065408,tokens+length
19078148,length
29837027,length
48545158,length
29064840,length
60939350,length
50417161,length
25838343,length
46669337,length
10485039,length
59113939,length
46351838,length
45979260,tokens+length
38164428,tokens
34981220,length
33764946,length
39375368,tokens
25376348,length
25376348,length
17471407,length
23127251,length
21301467,length
21299718,tokens+length
23077569,length
21268665,tokens+length
12851755,tokens+length
25455112,length
32536897,length
28817084,tokens
36126605,length
47951495,tokens
13518204,length
49178098,length
24273321,length
19467067,tokens
918210,length
39959099,tokens
36720879,length
39260430,tokens+length
26191394,length
43513579,tokens
57257561,length
27615546,length
34741952,length
55214255,tokens+length
10065430,length
39210186,length
42539014,length
26657113,tokens+length
29961448,length
26922849,length
22778790,length
42990636,length
32051879,length
44212934,length
56572427,length
8990346,length
56527327,length
23395934,length
60332442,length
32063704,length
54710922,length
16555108,length
63271024,tokens
38196580,length
28136350,length
34312965,length
12661853,length
58913916,tokens+length
4647747,tokens
5700054,length
43743560,length
29421437,length
13232377,length
33392111,tokens
24178916,length
43940778,tokens+length
36280774,length
47007546,length
39139264,length
34419629,length
7318962,length
32528021,tokens+length
32528021,length
25356583,length
3103751,length
57980684,length
17937176,length
11365856,length
25596519,length
11716483,length
62279884,length
39264491,tokens+length
60488358,tokens+length
41414282,tokens+length
40351664,length
42241831,length
15739706,length
26095391,length
42537675,tokens
51561056,length
58845624,tokens
20488688,length
44361932,tokens
8084003,length
19166721,length
38338392,tokens
46417295,length
41930183,length
49240757,tokens+length
46895420,tokens+length
17965956,length
32956678,length
17202899,length
23752087,length
38953566,length
51752660,length
26242986,tokens+length
10475710,length
2057820,length
48844794,length
20637652,tokens+length
50358600,length
46844804,length
60498168,length
33378511,length
34258927,tokens
41991432,length
48071337,tokens+length
20827989,length
47984998,length
20783083,length
17333558,length
24129553,length
17496284,length
31942332,length
23627006,length
13068981,length
15253170,length
47883558,length
25081515,length
30319343,length
30319343,length
60390024,length
46414103,length
22260600,length
61239775,tokens+length
28803869,length
53099633,tokens+length
46383295,length
36293572,tokens
19598912,length
59485669,length
46851754,length
9843383,length
36777327,length
63689925,length
45121177,tokens+length
33101869,tokens
23252173,length
29314408,length
38501852,length
16889166,length
16889166,length
16971421,length
58456109,length
25178392,length
37018178,length
38373371,tokens+length
48555542,length
37152166,length
32897719,tokens
51315948,tokens
59462217,length
41948419,length
64152882,tokens+length
40215264,tokens+length
38942605,tokens
43467189,length
17159352,tokens+length
41301548,tokens
46825375,tokens
3254077,length
8669527,length
19352967,tokens
32055271,length
65118634,length
55776471,length
54369547,tokens+length
21309164,length
44802215,tokens+length
