postIdFinal,reason
17403201,tokens+length
58311351,length
21484754,length
53902906,length
59303232,length
59303232,length
19227002,tokens
36583944,length
27321912,length
12160010,tokens+length
50149562,tokens+length
45602464,tokens+length
45602464,length
54092597,length
38217855,length
62662082,length
55115214,length
62155396,length
38251874,length
16651176,tokens+length
16651176,tokens+length
30797080,length
46414026,tokens+length
34165265,length
35148114,length
31057073,length
46677879,length
16140765,length
41307127,length
32136439,length
52894264,length
9088877,length
18072195,length
40518091,length
45865260,length
45865260,length
45865260,length
26002626,length
21331436,length
22389138,tokens
24039023,tokens+length
59436858,length
47101273,length
62891526,length
62891526,length
17720626,length
31252296,length
36153569,length
62476349,tokens
53183222,length
46181585,length
10460088,tokens+length
10460088,tokens+length
41272705,length
31598626,length
14434869,tokens
13426872,length
57563499,tokens+length
53971160,length
7506717,tokens+length
58358692,length
4047212,tokens
4047212,length
57955098,tokens
51937444,length
52791463,tokens+length
35612089,length
35612089,length
12552211,length
54870279,tokens+length
54870279,tokens+length
58642620,length
27401474,length
24707208,tokens
10846133,length
39970857,tokens+length
37549515,length
62214365,length
26645241,length
62576740,length
50555948,length
12794856,tokens+length
49943691,length
62234832,length
41078789,length
15480906,tokens+length
51129601,length
62114404,length
56436618,length
21924299,tokens+length
51030391,length
59444252,tokens+length
62772845,length
51733030,length
32591327,length
48773174,tokens
48773174,tokens+length
40199638,length
42890793,tokens
6836781,length
55925609,tokens
45415254,length
2884509,length
56837332,length
25558582,length
51818566,tokens+length
50132740,tokens+length
50132740,tokens+length
44685516,length
17568451,tokens
52693944,length
42983804,tokens+length
63252307,length
40594688,length
40594688,length
58470541,tokens+length
37955505,tokens+length
34915722,length
7080921,length
58135290,tokens
52768760,tokens
52768760,tokens
53384351,length
30502960,length
30502960,tokens
41347542,length
62029578,tokens
56551613,tokens
7014404,length
53180120,length
53715289,length
39555307,length
59839837,length
38143305,length
46757603,length
46757603,tokens+length
61030633,length
47297161,length
33967824,tokens+length
57498206,tokens+length
32951313,length
56757408,tokens+length
49642062,tokens
49642062,tokens+length
45906747,length
45906747,length
40754235,length
40754235,length
17910399,tokens+length
56741769,tokens+length
52890393,length
56247486,length
3805000,tokens
31121344,length
31121344,tokens+length
31121344,length
32590746,tokens+length
24705679,length
29562558,length
33656330,length
45540133,tokens
45540133,length
30055246,length
63785948,length
58793085,length
33425872,tokens+length
56831972,tokens
43497276,tokens
60662935,length
63890263,length
60469344,length
45132825,length
45132825,tokens+length
37943077,length
63432678,length
63432678,length
39110194,tokens+length
47112161,tokens
58711278,tokens+length
27629944,tokens+length
47325526,tokens+length
57438350,length
18949832,length
22008561,length
11353874,length
61250615,length
50659994,tokens
47128796,length
47128796,tokens+length
47532728,tokens
37142012,length
49912464,length
62902922,length
39648054,length
47900969,length
63374456,tokens+length
62155160,length
40251616,tokens+length
63498524,tokens+length
49624954,length
59285866,length
44857223,tokens+length
29776211,tokens+length
20449666,length
62349106,length
49656552,tokens+length
62811239,tokens+length
64491591,length
8538296,length
37110113,length
30323899,tokens+length
47416699,length
63228230,length
19483906,tokens+length
45558429,tokens+length
37828075,length
25649412,length
25649412,tokens
63290060,length
5488257,length
26984414,length
49680191,length
45674143,tokens+length
51821131,tokens
5573644,length
51950845,length
50312887,length
35048988,tokens+length
4402685,length
53647399,tokens+length
51471298,length
47237610,length
57870593,length
39619636,length
24655592,length
27696337,tokens+length
60178709,length
12189016,tokens+length
21556658,length
54487514,length
35311515,tokens
38758367,tokens+length
38758367,tokens
57868881,tokens+length
59312336,length
37429296,tokens+length
31013585,tokens+length
47557240,tokens
45499559,length
31354429,length
54480171,length
34054222,length
58142479,length
51696639,tokens+length
39732724,length
42190906,length
42190906,tokens+length
46083360,length
46083360,tokens+length
21985299,tokens+length
39558758,length
58390271,length
15231607,length
60183321,length
58737998,tokens
14070197,tokens+length
61582558,tokens
35361975,tokens
38054955,length
28044219,length
51621431,length
27985015,length
49394188,length
7475258,length
28485275,length
28137737,length
52166920,tokens+length
39838793,length
35256609,length
25949140,length
57016428,tokens
37056354,length
65099281,length
56886764,length
41228859,length
8806120,length
25350262,tokens+length
3835192,tokens+length
49370721,length
32399461,tokens+length
13836648,tokens+length
6755302,length
34846955,tokens+length
34846955,length
46760474,length
5190507,tokens+length
34974050,length
11356665,length
57256785,length
56739320,tokens+length
17765881,length
34182055,length
27063692,tokens+length
60201418,length
60201418,length
55861586,tokens+length
62170677,tokens+length
41243215,length
11286688,tokens+length
40446212,tokens+length
36834400,tokens+length
33151188,tokens+length
65014556,length
28455982,length
39827307,length
52285092,tokens
39209261,tokens+length
30455638,length
4759544,length
62869997,length
38593771,length
39057167,length
25190131,length
25190131,length
49026919,length
40669042,tokens
40669042,length
49703186,length
64537360,length
38215040,tokens+length
38215040,tokens+length
48608062,tokens+length
50368090,length
61888958,length
20283879,length
62286263,length
33588670,tokens+length
24741559,length
56177379,length
64621171,length
52181307,length
29219590,length
34632617,length
53896978,tokens+length
52590059,tokens
53112577,length
62624472,length
55975095,length
48250410,tokens+length
45511948,length
32053361,tokens
6068361,length
24787673,length
30562678,length
65016918,tokens+length
47069515,tokens
63839655,tokens+length
32342458,tokens
11951701,length
24427927,tokens+length
63566757,length
29020298,length
48719438,tokens+length
10126125,length
53356451,tokens
5036816,length
53372717,length
49139542,length
60375951,length
35584501,length
51431902,tokens+length
24190886,length
59006484,tokens+length
14225676,tokens+length
26699553,tokens+length
30518390,length
33084564,tokens+length
64873330,tokens+length
44788288,length
22386287,length
46054644,length
54931259,length
34004469,length
34004469,length
36322081,length
36322081,length
58576984,length
59579013,length
48346425,tokens+length
48346425,length
48047688,length
34703579,length
62970218,length
22980458,length
7297373,length
55963504,tokens+length
55963504,tokens+length
54514324,length
16085703,tokens
50552478,tokens+length
8754724,length
39123829,length
3937597,tokens+length
64564385,tokens+length
51905428,length
64187089,length
13874514,length
17527869,tokens+length
26480715,length
54390101,tokens
51479759,length
29136916,tokens+length
26479254,length
65005334,length
10874499,length
10874499,length
10874499,length
823141,length
56476687,length
45156799,length
40139814,length
44961156,tokens+length
64373202,length
64373202,length
28444382,tokens+length
28262205,length
52407131,tokens+length
27588432,length
41144739,tokens+length
16947390,length
56129786,length
12400623,tokens+length
52799146,tokens
27649767,length
54512699,length
54512699,tokens+length
54512699,tokens
56542305,length
32899993,length
31194401,length
57221881,length
24954431,tokens+length
60918341,length
9940143,length
60668709,tokens
21561977,tokens+length
53034033,length
36846249,length
48036456,tokens+length
48870342,length
60294970,tokens
35175084,length
58592015,length
10656863,length
22589487,tokens+length
33380189,length
48863159,length
58208523,tokens
56958182,length
32981774,length
46364233,tokens
34539266,length
51953276,length
43768466,length
27608987,tokens+length
27608987,length
44176905,length
45751152,tokens
62979764,length
58593669,tokens+length
36543606,tokens+length
38911202,tokens+length
62792219,length
54106777,tokens
39993436,length
44446598,length
35680336,length
40084822,length
40753909,length
40753909,length
43104682,length
43104682,length
34322471,length
57637418,length
52781274,length
18672871,length
27928275,length
9305235,length
63866704,length
58425021,length
35846446,length
36987807,length
61945314,length
22493010,length
45928046,tokens+length
44275893,length
6920653,length
35795362,length
14330942,tokens+length
48802781,length
48802781,tokens+length
31154900,length
31154900,tokens+length
40755148,length
4093540,length
10126567,length
33232961,tokens+length
50010929,length
50010929,length
50010929,length
47590760,length
48103964,length
30525027,length
41665978,length
34769639,tokens
42422366,length
26132313,length
54499886,tokens+length
8782721,length
60708844,length
48915033,tokens+length
48915033,tokens+length
47208838,length
14728091,length
45134696,length
45824288,length
39872880,tokens+length
45055176,tokens+length
61188168,length
34243976,length
18196532,length
44308127,length
44308127,length
44608790,length
63011026,length
36799992,tokens
52827167,tokens+length
54290617,length
64203356,length
42114760,tokens
14472805,length
21688262,tokens+length
26577574,tokens+length
58565984,tokens+length
25169563,tokens+length
46315803,tokens
8181998,length
21434214,length
44071472,tokens
38468367,length
56079161,length
51365019,tokens+length
51365019,tokens+length
32527831,tokens+length
32527831,tokens+length
45576689,length
62494379,tokens+length
62494379,tokens+length
45306988,length
44745526,tokens
38458185,length
35802775,length
54305117,length
31615322,tokens+length
51711082,length
38644073,length
40473193,length
36020946,tokens+length
36020946,tokens+length
60360598,length
33503228,length
62389384,tokens
39905822,tokens+length
50108907,length
62352413,length
3647937,length
34776381,length
49293754,length
17697907,tokens+length
56783056,length
64022927,tokens+length
28642927,length
61740228,tokens+length
40495075,tokens+length
60941122,length
53091208,length
34909034,length
34719556,length
53041231,length
48719033,length
18151839,length
51366669,tokens+length
30282504,length
46281274,tokens
59103376,tokens+length
41622545,length
23530142,length
64017677,tokens+length
64842742,length
16956751,length
34044331,tokens
38440338,tokens+length
21330829,tokens
56808693,tokens+length
36025285,length
50814434,length
54463333,length
64509219,tokens+length
58426934,tokens+length
59781127,tokens
56270327,length
56270327,length
52470542,tokens+length
6941811,tokens+length
56778319,tokens+length
16256704,length
49919009,length
54215329,length
57283027,length
10442551,length
10442551,length
22840532,tokens+length
49832618,length
33357793,length
51562637,tokens+length
48332649,length
41457795,tokens+length
7698717,length
31480418,length
52434890,length
59837797,length
59837797,tokens+length
45897700,length
29283378,length
49821802,length
62861590,tokens+length
35700134,length
53812848,tokens+length
35653544,length
50219895,length
64147195,length
55287431,length
48430491,length
48430491,length
41742453,tokens
52888864,length
64438719,length
28991492,tokens+length
58753277,tokens
20088064,length
40567720,tokens+length
63310086,length
33715746,length
63079174,length
52173396,length
57923184,length
49136087,tokens+length
50222183,length
23189171,length
23189171,tokens+length
59477686,length
35046788,length
58714083,tokens+length
27126511,tokens+length
34639792,length
61812351,length
60736688,length
15896707,tokens+length
64803936,length
41958846,length
59360451,tokens
60050956,length
29632068,length
6533638,length
48951692,tokens+length
35588566,length
55351080,length
50439540,length
20081319,length
2057820,length
62371484,tokens
62371484,tokens
36379475,length
51332795,length
49591618,length
19630201,length
64861501,length
43161356,tokens+length
26401647,length
54883612,tokens+length
47739408,tokens+length
35198385,tokens+length
57940115,length
53286615,tokens
32233403,length
51784033,length
8853446,length
8853446,length
44823418,tokens
35587647,length
26640145,length
47226713,length
23795180,tokens
23795180,tokens+length
31457367,tokens+length
28245604,length
51684097,tokens+length
49906269,length
34316591,tokens+length
61498175,tokens+length
38466624,tokens
26718945,length
43404758,length
43537978,length
28193025,length
54574497,length
40753390,length
47149399,length
63602575,length
43530398,length
45225918,length
58028141,tokens+length
61337725,tokens
64058925,tokens
8408373,length
44147546,tokens+length
41431803,length
41515931,length
42163983,length
27450194,tokens
53432564,length
57083043,tokens
32480809,length
43248899,length
23986892,length
37615196,length
42124010,length
22039204,length
32974630,length
58646958,tokens+length
52850354,length
20934922,length
61970657,tokens+length
64233399,tokens+length
43099154,length
52443621,length
15865932,tokens+length
15865932,length
44256834,length
37266257,length
50702186,length
61217928,length
57531062,length
38781017,length
32038757,length
28152614,length
33724187,length
33724187,length
38720407,length
38720407,length
49304400,length
685713,length
19963802,length
43154531,length
48272497,length
46637653,tokens+length
60590168,length
14259144,length
46133175,tokens+length
64650323,length
59515226,tokens
48643445,tokens+length
42389114,length
58550146,length
58403911,length
61975498,length
41592180,length
21124800,length
28359180,length
61367151,length
65099291,length
20596204,length
6563432,length
45247864,tokens
30991592,tokens+length
41860951,length
14387587,length
64335029,tokens
61915101,length
63825380,length
47956156,tokens+length
61650465,length
56646360,length
50647561,tokens
52302060,tokens+length
52302060,length
34420677,length
55279979,length
60476549,tokens+length
62410690,length
36672033,tokens
51002694,length
62818464,length
48474308,tokens+length
48474308,length
60113500,tokens
60113500,tokens
58292608,length
59540980,tokens+length
44063683,length
63981797,length
54886002,length
59941263,tokens+length
60877088,length
62008930,length
29384338,tokens+length
42985994,tokens
59833940,length
23438821,length
23438821,length
42431465,tokens
51195035,length
61228651,tokens
40615365,length
35109113,tokens
65004330,length
42749756,length
36159598,tokens
48113670,tokens+length
12985934,length
6297634,length
48312903,length
46931948,length
36702505,length
31765991,length
24708282,length
46665792,length
11831510,length
45281565,length
53918277,length
2695472,length
2695472,length
49180379,length
23997887,tokens
23997887,tokens+length
23997887,tokens+length
34998917,length
56135088,tokens
60899176,length
24711423,length
25298235,tokens
35517051,tokens+length
32002761,length
31395112,tokens+length
51842166,length
46901401,length
62019864,tokens+length
34828207,length
63750739,length
47273196,length
56600312,length
21943718,length
34554410,tokens
11835396,length
49681606,tokens+length
49681606,tokens+length
52491164,length
12016973,tokens+length
43475658,length
11473721,length
29018568,length
63881231,tokens+length
44836137,length
26133157,tokens
13500126,length
61256171,tokens
12526159,length
52029520,length
48168011,length
64673383,length
50653300,length
56478652,length
24351441,tokens
33739174,length
63681350,length
51292589,length
36935085,tokens
63300944,length
6706161,length
32236312,length
46444449,length
26331923,length
37451089,length
63376041,length
30675874,length
63296584,length
21670037,length
35228095,tokens
63391365,length
52754522,length
16589661,tokens
56276812,length
40692127,length
40692127,length
40692127,length
32351017,tokens+length
49988684,length
56305787,length
64214467,tokens+length
43318346,tokens
41229753,length
55136948,length
47840883,length
43335904,tokens+length
37196627,length
58219506,length
2832865,length
61977071,tokens+length
31736951,tokens+length
62538471,tokens
51370650,length
37392668,length
31819013,tokens+length
48349998,length
21236910,tokens+length
58923505,tokens
33735060,length
57358336,length
26111983,tokens
63063864,length
48343857,tokens+length
26472059,length
63583725,tokens
49661279,length
53665613,length
55252587,tokens+length
52016751,length
35964583,length
49685063,length
1782253,length
64824131,tokens+length
54274309,length
63493061,tokens
54439628,length
40188324,length
47620891,tokens
50637446,tokens+length
33310670,length
47382916,length
37106305,tokens
20519539,length
31664988,tokens+length
44659833,tokens+length
38869686,length
38869686,length
37000189,tokens+length
48515419,tokens+length
46838068,length
36034577,length
63476522,tokens+length
17626754,length
50108533,length
42091166,length
58997416,length
64306843,length
14313025,tokens+length
43843771,tokens
27064544,tokens
31723947,tokens+length
13938384,tokens
356830,length
49020632,length
45518193,length
50677745,tokens+length
50677745,tokens+length
48493755,length
38790422,tokens+length
15491861,tokens+length
41687389,length
54216420,tokens+length
52018968,length
50137670,length
27150415,length
34624272,length
43559402,length
1110332,length
42709021,tokens+length
63820328,length
58556794,length
63142754,tokens+length
63142754,length
63142754,length
17879585,length
54797248,tokens+length
54797248,tokens+length
60476501,length
46168837,tokens+length
43668219,length
46436188,length
64891675,tokens+length
57087022,length
39412372,length
44908259,length
41709564,length
57365891,tokens+length
16936558,tokens
16936558,length
54131030,length
43827091,length
35271594,tokens+length
53179868,tokens+length
49796147,length
48445050,tokens
46765013,length
53217806,length
24439715,length
24439715,length
1419653,tokens+length
41848480,tokens+length
56393276,length
46223654,length
52407908,length
45064826,length
23133344,tokens
41462834,tokens+length
52358248,tokens
62825542,length
10824042,tokens+length
64604905,tokens+length
54635454,tokens+length
49375721,length
54975310,length
57301540,length
47121855,length
42035808,tokens+length
34776312,length
34776312,tokens+length
32350202,length
39897370,tokens
47081931,tokens+length
26576629,length
30942894,length
51279846,length
38436732,length
51752289,length
29954569,length
33633089,tokens+length
43086737,tokens+length
43086737,length
57797046,tokens+length
57797046,tokens+length
36184402,length
30030621,length
46256267,length
43191875,length
23485114,length
51802744,length
53835406,tokens+length
55441956,tokens
39157193,tokens+length
26917765,tokens+length
22563067,length
62650357,length
25920932,length
46647945,length
63594414,tokens
36726937,length
40193183,length
64954713,length
53473365,length
50379274,tokens+length
64047517,length
43187648,tokens
62734232,length
48747401,length
23547358,length
64198713,length
63501184,length
63005445,tokens+length
63173270,tokens+length
3984930,length
36366585,tokens+length
36366585,length
18111488,length
50420229,length
53744465,tokens
58835000,tokens+length
48317127,length
62468571,tokens+length
53232136,length
31836538,length
61574143,length
45777004,tokens+length
45777004,length
9875964,length
4339168,tokens+length
36157054,length
62092854,tokens+length
64606915,length
64606915,length
8486815,length
49380745,tokens+length
30426628,length
29063576,tokens+length
29063576,tokens+length
18033339,length
18033339,tokens+length
31000448,length
53612048,length
63809217,tokens
55919653,length
19517496,length
26013379,tokens+length
37814205,length
53229667,length
61396297,length
54413422,tokens
53473162,tokens
33448070,length
20245089,length
63799501,length
10861427,length
33216488,length
33216488,length
48903559,tokens+length
53073082,length
52194838,length
37543802,tokens+length
36389211,length
35273135,length
20312742,length
20312742,length
51975126,length
11189699,tokens+length
1698734,length
38703072,tokens+length
38703072,length
21115699,length
45081877,length
52076287,tokens+length
47146514,tokens+length
61525287,length
27966496,tokens+length
27966496,length
60581093,length
33161769,length
46475251,length
64849364,length
30822289,length
42329708,tokens
50572748,length
4119813,length
51314305,length
51689145,length
49742528,tokens+length
43604401,length
59354706,tokens
27277514,length
64044223,tokens+length
61605661,length
50575021,tokens+length
46669144,tokens+length
61446536,tokens
44641538,tokens+length
58172069,tokens+length
7547069,length
14017349,length
34183827,length
54670148,length
25365360,length
25365360,tokens+length
5743322,length
50308051,length
32223242,tokens
44862150,tokens+length
56280749,length
41665659,length
42860356,tokens+length
42860356,tokens+length
20959022,length
26686343,length
20632288,length
57038772,length
46934392,length
40178202,tokens
15086674,tokens+length
44161342,tokens+length
25105592,length
28235442,tokens
56805939,length
30004939,length
17546314,length
17546314,tokens
15769246,length
48792959,length
43614196,tokens
43726795,tokens+length
51572720,length
11676125,tokens+length
39491030,tokens+length
34262548,length
39862573,tokens+length
50909511,length
40749662,tokens+length
50454353,length
38981257,tokens
52831119,length
58407368,length
7395488,length
30257131,length
62700110,tokens
54340400,tokens+length
11375422,tokens+length
63323323,length
50178109,length
47925287,length
33090718,length
18388670,length
41142688,length
54412977,tokens+length
31359929,tokens
26649178,length
49652146,tokens+length
16092900,length
47651846,tokens+length
40670438,length
31731863,tokens
63071277,length
51565762,length
27781368,tokens
56900035,length
41971457,tokens+length
17398336,length
48387783,tokens+length
48387783,length
64417984,length
37135633,length
54906062,length
28737855,tokens+length
24475425,length
26559179,length
64528390,length
14088687,length
18142090,tokens+length
60284560,length
38813388,tokens+length
45128959,length
36741505,tokens
36741505,tokens
16317904,tokens
28340427,length
63408564,length
54625292,length
32099296,length
29070534,length
57812652,length
24407574,tokens+length
64503199,tokens+length
55333133,tokens+length
16247447,length
48201530,length
52902727,length
22924370,length
30213671,length
44865580,tokens
64970861,length
17701191,tokens
3639631,tokens+length
61950144,length
53102427,length
46938512,length
14417571,length
41466858,length
18103686,length
18420156,length
43951995,length
64289778,length
48442762,length
47338597,tokens+length
51655212,tokens+length
52701025,length
62366700,length
29709900,length
56030115,length
56070454,tokens+length
47974035,length
57284369,tokens+length
56882576,length
39258038,tokens+length
16262532,tokens
37728733,length
52909718,length
52909718,length
52229706,length
24253021,length
51815128,length
13385194,length
54075994,length
64265346,length
26084926,length
37843368,tokens+length
52191323,length
49453930,length
53626817,tokens
48909578,length
59165095,length
50611834,length
15088988,length
19366969,length
41630222,length
62253262,length
15837039,length
55119102,length
47958217,tokens+length
55082088,length
49193286,length
40844481,length
45351322,tokens+length
46927965,length
59285284,length
59285284,length
61262571,length
1918047,length
20972489,length
63824865,tokens+length
50219200,tokens+length
42916539,tokens+length
49866765,tokens
54107099,length
39070427,length
58942356,length
58942356,length
56933084,tokens
34440128,length
51878878,length
45054133,tokens+length
55834815,length
57732452,tokens
55918784,length
49183392,tokens
41314715,length
41314715,length
46281922,tokens+length
34864903,tokens
61604441,tokens+length
14904012,length
60721490,length
34421024,length
18350911,length
12429869,length
12429869,length
10708840,length
46988237,tokens+length
17636665,length
56663252,length
38576813,length
38604991,length
38576692,tokens+length
41133751,length
45671578,length
62607025,length
8758225,tokens
22127006,length
5549687,tokens+length
5549687,length
45910022,tokens
36304745,tokens
44867288,length
15508905,length
60213757,tokens
60213757,tokens
19307318,length
54604553,tokens+length
49262484,length
60729210,tokens
49678302,length
13758500,tokens
10543164,length
54997209,length
53307967,tokens+length
52024954,length
19184587,length
17407623,length
63744391,length
63744391,length
47324699,tokens
22301058,length
55442805,length
48095677,length
64124305,length
36137122,length
42246402,length
24364490,tokens+length
20394510,length
39232736,tokens
54235233,tokens+length
23257464,tokens+length
20483808,length
29221978,length
33578726,length
56293908,tokens+length
19205281,tokens+length
53788885,tokens
61952269,length
63831436,length
47018575,tokens+length
655125,tokens
7113724,length
12557612,length
18005471,length
54566297,tokens
41670198,tokens
43890131,length
11346196,tokens
18449678,length
54928393,length
34007489,tokens+length
